Playlist,Video Title,Video URL
Sorting algorithms,Merge Sort algorithm,https://www.youtube.com/watch?v=4lxlwLDJpsY
Sorting algorithms,Selection sort algorithm,https://www.youtube.com/watch?v=CkF9Cbtl4Zk
Sorting algorithms,Quick Sort,https://www.youtube.com/watch?v=OWEDofroesA
Sorting algorithms,Insertion Sort,https://www.youtube.com/watch?v=hQEVUsflZiE
Sorting algorithms,Counting Sort,https://www.youtube.com/watch?v=_6sbCBWr77E
Sorting algorithms,Radix Sort,https://www.youtube.com/watch?v=XdQXaHXmtzk
Top Amazon Interview Problems,Count Unique Characters of All Substrings of a Given String | Leetcode 828,https://www.youtube.com/watch?v=JT1NDR-M_8A
Top Amazon Interview Problems,Integer to Roman | Leetcode #12,https://www.youtube.com/watch?v=Rsq1ObYg6ak
Top Amazon Interview Problems,Number of islands | Leetcode #200,https://www.youtube.com/watch?v=__98uL6wst8
Top Amazon Interview Problems,LRU cache | Leetcode #146,https://www.youtube.com/watch?v=UudCSLREm08
Top Amazon Interview Problems,Group anagrams | Leetcode #49,https://www.youtube.com/watch?v=0I6IL3TnIZs
Top Amazon Interview Problems,Roman To Integer | Leetcode 13,https://www.youtube.com/watch?v=Ydho2JPTI3Y
Top Amazon Interview Problems,Trapping Rainwater Problem | Leetcode #42,https://www.youtube.com/watch?v=C8UjlJZsHBw
Top Amazon Interview Problems,Sliding Window Maximum | Leetcode #239,https://www.youtube.com/watch?v=LiSdD3ljCIE
Top Amazon Interview Problems,Merge K sorted lists | Leetcode #23,https://www.youtube.com/watch?v=kpCesr9VXDA
Top Amazon Interview Problems,Word Ladder | Leetcode #127,https://www.youtube.com/watch?v=ZVJ3asMoZ18
Top Amazon Interview Problems,Word Ladder 2 | Leetcode #126 | BFS + DFS,https://www.youtube.com/watch?v=mIZJIuMpI2M
Top Amazon Interview Problems,Course Schedule | Deadlock detection | Graph coloring | Leetcode #207,https://www.youtube.com/watch?v=kXy0ABd1vwo
Top Amazon Interview Problems,Auto complete feature using trie,https://www.youtube.com/watch?v=DfkLGiW8vNA
Top Amazon Interview Problems,Word Break | Dynamic Programming | Leetcode #139,https://www.youtube.com/watch?v=th4OnoGasMU
Top Amazon Interview Problems,Word Break 2 | Leetcode #140,https://www.youtube.com/watch?v=fNVs1J2KCyo
Top Amazon Interview Problems,Rotten oranges problem | Leetcode #994,https://www.youtube.com/watch?v=CxrnOTUlNJE
Top Amazon Interview Problems,Topological sort | Course schedule 2 | Leetcode #210,https://www.youtube.com/watch?v=qe_pQCh09yU
Top Amazon Interview Problems,K Closest Points to Origin | Leetcode #973,https://www.youtube.com/watch?v=VORIA407dB4
Top Amazon Interview Problems,Longest Duplicate Substring | TRIE | Rolling Hash | Binary Search | Leetcode #1044,https://www.youtube.com/watch?v=FQ8hcOOzQMU
Netflix System Design,Elasticity in Cloud | AWS vs Netflix Data Centers,https://www.youtube.com/watch?v=WuN6Huxfkv8
Important Interview Questions,How to Sort a very large file | External Sorting technique,https://www.youtube.com/watch?v=2qbZKZfs8aA
Hashing Full Course,Hashing Vs Hashtable,https://www.youtube.com/watch?v=92aV0eJEVug
Hashing Full Course,Need for HashMap,https://www.youtube.com/watch?v=EK0PyKMnJV4
Hashing Full Course,Concept of Hashing,https://www.youtube.com/watch?v=vmGASZxeGVQ
Hashing Full Course,Chaining in Hashmap | Collision Resolution Technique,https://www.youtube.com/watch?v=udB-dHqS3ng
Hashing Full Course,Open Addressing in Hashmap,https://www.youtube.com/watch?v=meAP-HeIj6c
Hashing Full Course,4 Sum Problem | Leetcode #18,https://www.youtube.com/watch?v=8ViERnSgPKs
HEAP full course,Power of Heap,https://www.youtube.com/watch?v=RU08pp_VPSs
HEAP full course,Concepts of Heap | Understanding heap,https://www.youtube.com/watch?v=N0Frqx9UlrI
HEAP full course,Representation of Heap | Important Concepts,https://www.youtube.com/watch?v=qQkfUKer3LU
HEAP full course,Heapify Algorithm | Max Heapify | Min Heapify,https://www.youtube.com/watch?v=cuL8gXCSA58
HEAP full course,Build Heap Algorithm | Proof of O(N) Time Complexity,https://www.youtube.com/watch?v=VkKmmwzfIG4
